Opponent,W/L,Method,Competition,Weight,Stage,Year
Bill Cooper,L,Pts: 8x6,GQ All Star Pro,81KG,F,2006
Marcelo Garcia,L,North south choke,Grapplers Quest,ABS,F,2007
Saulo Ribeiro,L,Pts: 3x0,NoGi Worlds,88KG,F,2008
Pablo Popovitch,L,Pts: 3x0,ADCC,77KG,SF,2009
Tarsis Humphreys,L,Pts: 2x0,World Champ.,88KG,1/4F,2009
DJ Jackson,L,Pts: 2x0,Boston W. Open,82KG,F,2013
Leandro Lo,L,Pts: 8x2,Copa Podio,77KG,GP,2014
Leandro Lo,L,Armbar,Copa Podio,77KG,F,2014
Felipe Pena,L,Pts: 10x0,Copa Podio,85KG,GP,2014
Luiz Panza,L,Botinha,Copa Podio,85KG,SF,2014
Tanner Rice,L,Referee Decision,Grand Slam LA,85KG,1/4F,2015
Murilo Santana,L,Triangle,NY Spring Open,88KG,F,2016
Victor Silverio,L,Referee Decision,Boston Spring O.,ABS,F,2016
Ricardo Rezende,L,Americana,Miami Spring Open,88KG,SF,2016
Tanner Rice,L,Pts: 4x4, Adv,World Champ.,88KG,R1,2016
Jean Rotondaro,W,Kimura,GQ All Star Pro,81KG,1/4F,2006
Jay Hayes,W,Arm in guillotine,GQ All Star Pro,81KG,SF,2006
Leo Dalla,W,Points,Grapplers Quest,ABS,SF,2007
Unknown,W,Katagatame,NoGi Worlds,88KG,1/4F,2008
Marcello Salazar,W,DQ,NoGi Worlds,88KG,SF,2008
Jason Ebarb,W,Collar choke,Pan American,88KG,1/4F,2009
Murilo Santana,W,Pts: 3x0,ADCC,77KG,R1,2009
Leonardo Santos,W,Pen,ADCC,77KG,1/4F,2009
Keita Nakamura,W,Pts: 10x0,ADCC,77KG,3RD,2009
Luca Anacoreta,W,Pts: 4x2,Copa Podio,77KG,GP,2014
Hamzeh Rasheed,W,Choke from back,Copa Podio,77KG,GP,2014
S. Franceschini,W,Pts: 4x2,Copa Podio,77KG,GP,2014
Gilbert Burns,W,Pts: 4x2,Copa Podio,77KG,SF,2014
Patrick Gaudio,W,Adv,Copa Podio,85KG,GP,2014
Erberth S.,W,Pts: 0x0, Adv,Copa Podio,85KG,GP,2014
Thiago Sa,W,Choke,Copa Podio,85KG,GP,2014
Daniel Moraes,W,Points,Copa Podio,ABS,SPF,2015
Mike Fowler,W,Adv,Grand Slam Tokyo,94KG,SF,2015
Faisal AlKitbe,W,Referee Decision,Grand Slam Tokyo,94KG,F,2015
Thiago Sa,W,Points,UAEJJF NYC Pro,94KG,1/4F,2016
Wellington Godoi,W,Choke from back,UAEJJF NYC Pro,94KG,SF,2016
Romulo Azevedo,W,N/A,UAEJJF NYC Pro,94KG,F,2016
Louis Armezzani,W,N/A,NY Spring Open,88KG,SF,2016
Vinicius Costa,W,Points,Boston Spring O.,88KG,SF,2016
Javier Yamuni,W,Points,Boston Spring O.,88KG,F,2016
Joao Paulo Soares,W,Points,Boston Spring O.,ABS,SF,2016
